id,application_date,contract_id,bank,summa,loan_summa,claim_date,claim_id,contract_date
2925210,2024-02-12 19:22:46.652000+00:00,,,,,,,
2925211,2024-02-12 19:24:29.135000+00:00,522530,003,500000000,0,2020-02-13,609965,2020-02-17
2925211,2024-02-12 19:24:29.135000+00:00,,014,,,2020-08-28,F00013731,
2925211,2024-02-12 19:24:29.135000+00:00,,014,,,2020-10-08,F00021301,
2925211,2024-02-12 19:24:29.135000+00:00,,014,,,2020-11-25,F00037907,
2925211,2024-02-12 19:24:29.135000+00:00,,053,,,2020-12-09,34852,
2925211,2024-02-12 19:24:29.135000+00:00,35163,053,510000000,0,2020-12-15,35163,2020-12-21
2925211,2024-02-12 19:24:29.135000+00:00,,014,,,2021-01-26,F00058018,
2925211,2024-02-12 19:24:29.135000+00:00,,014,,,2021-07-08,F00125905,
2925211,2024-02-12 19:24:29.135000+00:00,,062,,,2021-07-12,1535899,
2925211,2024-02-12 19:24:29.135000+00:00,,062,,,2021-07-19,1573562,
2925211,2024-02-12 19:24:29.135000+00:00,,009,,,2022-07-07,1296934,
2925211,2024-02-12 19:24:29.135000+00:00,,062,,,2022-10-05,5554725,
2925211,2024-02-12 19:24:29.135000+00:00,,014,,,2022-11-22,F00551424,
2925211,2024-02-12 19:24:29.135000+00:00,,063,,,2022-11-23,551830909,
2925211,2024-02-12 19:24:29.135000+00:00,,062,,,2022-11-23,6020431,
2925211,2024-02-12 19:24:29.135000+00:00,500873,055,500000000,0,2022-12-09,451262,2022-12-12
2925211,2024-02-12 19:24:29.135000+00:00,,014,,,2023-01-05,F00612689,
2925211,2024-02-12 19:24:29.135000+00:00,,014,,,2023-02-08,F00661674,
2925211,2024-02-12 19:24:29.135000+00:00,,014,,,2023-05-31,F00895512,
2925211,2024-02-12 19:24:29.135000+00:00,,062,,,2023-06-08,13497747,
2925211,2024-02-12 19:24:29.135000+00:00,,014,,,2023-07-10,F00081453,
2925211,2024-02-12 19:24:29.135000+00:00,,062,,,2023-07-10,13844974,
2925211,2024-02-12 19:24:29.135000+00:00,,014,,,2023-08-08,F01099265,
2925211,2024-02-12 19:24:29.135000+00:00,,014,,,2023-08-14,F00081469,
2925211,2024-02-12 19:24:29.135000+00:00,,014,,,2023-09-12,F01208844,
2925211,2024-02-12 19:24:29.135000+00:00,,014,,,2023-09-18,F00081484,
2925211,2024-02-12 19:24:29.135000+00:00,,014,,,2023-10-13,F01299305,
2925211,2024-02-12 19:24:29.135000+00:00,,014,,,2023-11-14,F01390677,
2925211,2024-02-12 19:24:29.135000+00:00,,014,,,2023-11-20,F00081529,
2925211,2024-02-12 19:24:29.135000+00:00,,063,,,2023-12-12,553916385,
2925211,2024-02-12 19:24:29.135000+00:00,,063,,,2023-12-12,553916471,
2925211,2024-02-12 19:24:29.135000+00:00,,063,,,2023-12-12,553917055,
2925211,2024-02-12 19:24:29.135000+00:00,,063,,,2023-12-12,553917253,
2925211,2024-02-12 19:24:29.135000+00:00,,063,,,2023-12-12,553918199,
2925211,2024-02-12 19:24:29.135000+00:00,,063,,,2023-12-12,553919210,
2925211,2024-02-12 19:24:29.135000+00:00,,063,,,2023-12-12,553919292,
2925211,2024-02-12 19:24:29.135000+00:00,,063,,,2023-12-13,553924738,
2925211,2024-02-12 19:24:29.135000+00:00,,063,,,2023-12-13,553925254,
2925211,2024-02-12 19:24:29.135000+00:00,,014,,,2023-12-15,F01488566,
2925211,2024-02-12 19:24:29.135000+00:00,,063,,,2023-12-15,553937368,
2925211,2024-02-12 19:24:29.135000+00:00,,063,,,2023-12-15,553937470,
2925211,2024-02-12 19:24:29.135000+00:00,,063,,,2023-12-15,553937495,
2925211,2024-02-12 19:24:29.135000+00:00,,063,,,2023-12-15,553937498,
2925211,2024-02-12 19:24:29.135000+00:00,,063,,,2023-12-15,553939870,
2925211,2024-02-12 19:24:29.135000+00:00,,063,,,2023-12-15,553941910,
2925211,2024-02-12 19:24:29.135000+00:00,,063,,,2023-12-18,553966065,
2925211,2024-02-12 19:24:29.135000+00:00,,063,,,2023-12-18,553966377,
